country_iso3,year,source,event_category,event_subtype,title,summary,mechanism,policy_direction,confidence,tags,url
AGO,1996,un_wpp,population_policy,government_view,Government view on fertility level changed,Government view on fertility level changed from 'Satisfactory' to 'Too high'.,This may reflect a shift in how fertility trends are evaluated by the government.,unknown,0.8,"[""view_on_fertility_level"", ""population_policy""]",
AGO,2001,un_wpp,population_policy,government_view,Government view on fertility level changed,Government view on fertility level changed from 'Too high' to 'Satisfactory'.,This may reflect a shift in how fertility trends are evaluated by the government.,unknown,0.8,"[""view_on_fertility_level"", ""population_policy""]",
AGO,2005,un_wpp,population_policy,government_view,Government view on fertility level changed,Government view on fertility level changed from 'Satisfactory' to 'Too high'.,This may reflect a shift in how fertility trends are evaluated by the government.,unknown,0.8,"[""view_on_fertility_level"", ""population_policy""]",
ATG,1996,un_wpp,population_policy,official_orientation,Population policy orientation changed,Population policy orientation changed from 'Lower' to 'No intervention'.,This may affect how the state approaches fertility trends and demographic goals.,neutral,0.8,"[""policy_on_fertility_level"", ""population_policy""]",
ATG,1996,un_wpp,population_policy,government_view,Government view on fertility level changed,Government view on fertility level changed from 'Too high' to 'Satisfactory'.,This may reflect a shift in how fertility trends are evaluated by the government.,unknown,0.8,"[""view_on_fertility_level"", ""population_policy""]",
ATG,2009,un_wpp,family_planning,government_support,Family planning support changed,Family planning support changed from 'Direct support' to 'Indirect support'.,This may affect access to family planning services and reproductive choices.,restrictive,0.8,"[""family_planning_support"", ""family_planning""]",
ATG,2011,un_wpp,family_planning,government_support,Family planning support changed,Family planning support changed from 'Indirect support' to 'Direct support'.,This may affect access to family planning services and reproductive choices.,expansive,0.8,"[""family_planning_support"", ""family_planning""]",
ATG,2011,un_wpp,reproductive_health,adolescent_fertility_concern,Concern about adolescent fertility changed,Concern about adolescent fertility changed from 'Minor concern' to 'Major concern'.,This may influence reproductive health priorities for adolescents.,unknown,0.8,"[""concern_about_adolescent_fertility"", ""reproductive_health""]",
ARG,1986,un_wpp,population_policy,official_orientation,Population policy orientation changed,Population policy orientation changed from 'Raise' to 'No intervention'.,This may affect how the state approaches fertility trends and demographic goals.,neutral,0.8,"[""policy_on_fertility_level"", ""population_policy""]",
ARG,1986,un_wpp,population_policy,government_view,Government view on fertility level changed,Government view on fertility level changed from 'Too low' to 'Satisfactory'.,This may reflect a shift in how fertility trends are evaluated by the government.,unknown,0.8,"[""view_on_fertility_level"", ""population_policy""]",
ARG,1986,un_wpp,family_planning,government_support,Family planning support changed,Family planning support changed from 'Limits' to 'No support'.,This may affect access to family planning services and reproductive choices.,unknown,0.8,"[""family_planning_support"", ""family_planning""]",
ARG,2001,un_wpp,family_planning,government_support,Family planning support changed,Family planning support changed from 'No support' to 'Indirect support'.,This may affect access to family planning services and reproductive choices.,expansive,0.8,"[""family_planning_support"", ""family_planning""]",
ARG,2003,un_wpp,family_planning,government_support,Family planning support changed,Family planning support changed from 'Indirect support' to 'Direct support'.,This may affect access to family planning services and reproductive choices.,expansive,0.8,"[""family_planning_support"", ""family_planning""]",
ARG,2001,un_wpp,abortion,legal_grounds,Abortion policy changed,"Legal grounds for abortion changed from '1,2' to '1,2,3,4'.",This may affect legal access to abortion and reproductive autonomy.,expansive,0.8,"[""abortion_grounds"", ""abortion""]",
ARG,2009,un_wpp,abortion,legal_grounds,Abortion policy changed,"Legal grounds for abortion changed from '1,2,3,4' to '1'.",This may affect legal access to abortion and reproductive autonomy.,restrictive,0.8,"[""abortion_grounds"", ""abortion""]",
ARG,2011,un_wpp,abortion,legal_grounds,Abortion policy changed,"Legal grounds for abortion changed from '1' to '1,2'.",This may affect legal access to abortion and reproductive autonomy.,expansive,0.8,"[""abortion_grounds"", ""abortion""]",
ARG,2013,un_wpp,abortion,legal_grounds,Abortion policy changed,"Legal grounds for abortion changed from '1,2' to '1,2,4'.",This may affect legal access to abortion and reproductive autonomy.,expansive,0.8,"[""abortion_grounds"", ""abortion""]",
ARM,2001,un_wpp,population_policy,government_view,Government view on fertility level changed,Government view on fertility level changed from 'Satisfactory' to 'Too low'.,This may reflect a shift in how fertility trends are evaluated by the government.,unknown,0.8,"[""view_on_fertility_level"", ""population_policy""]",
ARM,2005,un_wpp,family_planning,government_support,Family planning support changed,Family planning support changed from 'Direct support' to 'Indirect support'.,This may affect access to family planning services and reproductive choices.,restrictive,0.8,"[""family_planning_support"", ""family_planning""]",
ARM,2003,un_wpp,reproductive_health,adolescent_fertility_policy,Adolescent fertility policy changed,Policies to reduce adolescent fertility changed from 'No' to 'Yes'.,This may affect reproductive health interventions targeting adolescents.,unknown,0.8,"[""policies_reduce_adolescent_fertility"", ""reproductive_health""]",
AUS,2003,un_wpp,population_policy,official_orientation,Population policy orientation changed,Population policy orientation changed from 'No intervention' to 'Maintain'.,This may affect how the state approaches fertility trends and demographic goals.,neutral,0.8,"[""policy_on_fertility_level"", ""population_policy""]",
AUS,2005,un_wpp,population_policy,official_orientation,Population policy orientation changed,Population policy orientation changed from 'Maintain' to 'Raise'.,This may affect how the state approaches fertility trends and demographic goals.,pro_natal,0.8,"[""policy_on_fertility_level"", ""population_policy""]",
AUS,2005,un_wpp,population_policy,government_view,Government view on fertility level changed,Government view on fertility level changed from 'Satisfactory' to 'Too low'.,This may reflect a shift in how fertility trends are evaluated by the government.,unknown,0.8,"[""view_on_fertility_level"", ""population_policy""]",
AUS,2001,un_wpp,abortion,legal_grounds,Abortion policy changed,"Legal grounds for abortion changed from '1,2,3,4,5,6' to '1,2,3,4,5,6,7'.",This may affect legal access to abortion and reproductive autonomy.,expansive,0.8,"[""abortion_grounds"", ""abortion""]",
AUT,2001,un_wpp,population_policy,official_orientation,Population policy orientation changed,Population policy orientation changed from 'No intervention' to 'Raise'.,This may affect how the state approaches fertility trends and demographic goals.,pro_natal,0.8,"[""policy_on_fertility_level"", ""population_policy""]",
AUT,2001,un_wpp,population_policy,government_view,Government view on fertility level changed,Government view on fertility level changed from 'Satisfactory' to 'Too low'.,This may reflect a shift in how fertility trends are evaluated by the government.,unknown,0.8,"[""view_on_fertility_level"", ""population_policy""]",
AUT,2001,un_wpp,family_planning,government_support,Family planning support changed,Family planning support changed from 'Direct support' to 'Indirect support'.,This may affect access to family planning services and reproductive choices.,restrictive,0.8,"[""family_planning_support"", ""family_planning""]",
AUT,2005,un_wpp,family_planning,government_support,Family planning support changed,Family planning support changed from 'Indirect support' to 'No support'.,This may affect access to family planning services and reproductive choices.,restrictive,0.8,"[""family_planning_support"", ""family_planning""]",
AUT,2011,un_wpp,family_planning,government_support,Family planning support changed,Family planning support changed from 'No support' to 'Indirect support'.,This may affect access to family planning services and reproductive choices.,expansive,0.8,"[""family_planning_support"", ""family_planning""]",
AUT,2001,un_wpp,reproductive_health,adolescent_fertility_concern,Concern about adolescent fertility changed,Concern about adolescent fertility changed from 'Not a concern' to 'Minor concern'.,This may influence reproductive health priorities for adolescents.,unknown,0.8,"[""concern_about_adolescent_fertility"", ""reproductive_health""]",
AZE,2009,un_wpp,population_policy,official_orientation,Population policy orientation changed,Population policy orientation changed from 'Maintain' to 'Raise'.,This may affect how the state approaches fertility trends and demographic goals.,pro_natal,0.8,"[""policy_on_fertility_level"", ""population_policy""]",
AZE,2001,un_wpp,family_planning,government_support,Family planning support changed,Family planning support changed from 'Indirect support' to 'Direct support'.,This may affect access to family planning services and reproductive choices.,expansive,0.8,"[""family_planning_support"", ""family_planning""]",
AZE,2005,un_wpp,reproductive_health,adolescent_fertility_concern,Concern about adolescent fertility changed,Concern about adolescent fertility changed from 'Minor concern' to 'Major concern'.,This may influence reproductive health priorities for adolescents.,unknown,0.8,"[""concern_about_adolescent_fertility"", ""reproductive_health""]",
AZE,2003,un_wpp,reproductive_health,adolescent_fertility_policy,Adolescent fertility policy changed,Policies to reduce adolescent fertility changed from 'No' to 'Yes'.,This may affect reproductive health interventions targeting adolescents.,unknown,0.8,"[""policies_reduce_adolescent_fertility"", ""reproductive_health""]",
AZE,2005,un_wpp,reproductive_health,adolescent_fertility_policy,Adolescent fertility policy changed,Policies to reduce adolescent fertility changed from 'Yes' to 'No'.,This may affect reproductive health interventions targeting adolescents.,unknown,0.8,"[""policies_reduce_adolescent_fertility"", ""reproductive_health""]",
AZE,2007,un_wpp,reproductive_health,adolescent_fertility_policy,Adolescent fertility policy changed,Policies to reduce adolescent fertility changed from 'No' to 'Yes'.,This may affect reproductive health interventions targeting adolescents.,unknown,0.8,"[""policies_reduce_adolescent_fertility"", ""reproductive_health""]",
BHS,2001,un_wpp,population_policy,official_orientation,Population policy orientation changed,Population policy orientation changed from 'No intervention' to 'Lower'.,This may affect how the state approaches fertility trends and demographic goals.,anti_natal,0.8,"[""policy_on_fertility_level"", ""population_policy""]",
BHS,2005,un_wpp,population_policy,official_orientation,Population policy orientation changed,Population policy orientation changed from 'Lower' to 'No intervention'.,This may affect how the state approaches fertility trends and demographic goals.,neutral,0.8,"[""policy_on_fertility_level"", ""population_policy""]",
BHS,2001,un_wpp,population_policy,government_view,Government view on fertility level changed,Government view on fertility level changed from 'Satisfactory' to 'Too high'.,This may reflect a shift in how fertility trends are evaluated by the government.,unknown,0.8,"[""view_on_fertility_level"", ""population_policy""]",
BHS,2005,un_wpp,population_policy,government_view,Government view on fertility level changed,Government view on fertility level changed from 'Too high' to 'Satisfactory'.,This may reflect a shift in how fertility trends are evaluated by the government.,unknown,0.8,"[""view_on_fertility_level"", ""population_policy""]",
BHS,2001,un_wpp,family_planning,government_support,Family planning support changed,Family planning support changed from 'Indirect support' to 'Direct support'.,This may affect access to family planning services and reproductive choices.,expansive,0.8,"[""family_planning_support"", ""family_planning""]",
BHS,2011,un_wpp,abortion,legal_grounds,Abortion policy changed,"Legal grounds for abortion changed from '1,2,3' to '1,2,3,4,5'.",This may affect legal access to abortion and reproductive autonomy.,expansive,0.8,"[""abortion_grounds"", ""abortion""]",
BHS,2001,un_wpp,reproductive_health,adolescent_fertility_concern,Concern about adolescent fertility changed,Concern about adolescent fertility changed from 'Minor concern' to 'Major concern'.,This may influence reproductive health priorities for adolescents.,unknown,0.8,"[""concern_about_adolescent_fertility"", ""reproductive_health""]",
BHR,1996,un_wpp,population_policy,official_orientation,Population policy orientation changed,Population policy orientation changed from 'No intervention' to 'Lower'.,This may affect how the state approaches fertility trends and demographic goals.,anti_natal,0.8,"[""policy_on_fertility_level"", ""population_policy""]",
BHR,1986,un_wpp,population_policy,government_view,Government view on fertility level changed,Government view on fertility level changed from 'Too high' to 'Satisfactory'.,This may reflect a shift in how fertility trends are evaluated by the government.,unknown,0.8,"[""view_on_fertility_level"", ""population_policy""]",
BHR,2005,un_wpp,population_policy,government_view,Government view on fertility level changed,Government view on fertility level changed from 'Satisfactory' to 'Too high'.,This may reflect a shift in how fertility trends are evaluated by the government.,unknown,0.8,"[""view_on_fertility_level"", ""population_policy""]",
BHR,1986,un_wpp,family_planning,government_support,Family planning support changed,Family planning support changed from 'Indirect support' to 'Direct support'.,This may affect access to family planning services and reproductive choices.,expansive,0.8,"[""family_planning_support"", ""family_planning""]",
BHR,2001,un_wpp,abortion,legal_grounds,Abortion policy changed,"Legal grounds for abortion changed from '1,2,3,5' to '1,2,3,4,5,6,7'.",This may affect legal access to abortion and reproductive autonomy.,expansive,0.8,"[""abortion_grounds"", ""abortion""]",
BGD,2001,un_wpp,reproductive_health,adolescent_fertility_concern,Concern about adolescent fertility changed,Concern about adolescent fertility changed from 'Minor concern' to 'Major concern'.,This may influence reproductive health priorities for adolescents.,unknown,0.8,"[""concern_about_adolescent_fertility"", ""reproductive_health""]",
BRB,1996,un_wpp,population_policy,official_orientation,Population policy orientation changed,Population policy orientation changed from 'Lower' to 'No intervention'.,This may affect how the state approaches fertility trends and demographic goals.,neutral,0.8,"[""policy_on_fertility_level"", ""population_policy""]",
BRB,2005,un_wpp,population_policy,official_orientation,Population policy orientation changed,Population policy orientation changed from 'No intervention' to 'Raise'.,This may affect how the state approaches fertility trends and demographic goals.,pro_natal,0.8,"[""policy_on_fertility_level"", ""population_policy""]",
BRB,1996,un_wpp,population_policy,government_view,Government view on fertility level changed,Government view on fertility level changed from 'Too high' to 'Satisfactory'.,This may reflect a shift in how fertility trends are evaluated by the government.,unknown,0.8,"[""view_on_fertility_level"", ""population_policy""]",
BRB,2005,un_wpp,population_policy,government_view,Government view on fertility level changed,Government view on fertility level changed from 'Satisfactory' to 'Too low'.,This may reflect a shift in how fertility trends are evaluated by the government.,unknown,0.8,"[""view_on_fertility_level"", ""population_policy""]",
BRB,2005,un_wpp,reproductive_health,adolescent_fertility_concern,Concern about adolescent fertility changed,Concern about adolescent fertility changed from 'Minor concern' to 'Major concern'.,This may influence reproductive health priorities for adolescents.,unknown,0.8,"[""concern_about_adolescent_fertility"", ""reproductive_health""]",
BLR,1996,un_wpp,population_policy,official_orientation,Population policy orientation changed,Population policy orientation changed from 'Maintain' to 'Raise'.,This may affect how the state approaches fertility trends and demographic goals.,pro_natal,0.8,"[""policy_on_fertility_level"", ""population_policy""]",
BLR,2001,un_wpp,population_policy,government_view,Government view on fertility level changed,Government view on fertility level changed from 'Satisfactory' to 'Too low'.,This may reflect a shift in how fertility trends are evaluated by the government.,unknown,0.8,"[""view_on_fertility_level"", ""population_policy""]",
BLR,2003,un_wpp,reproductive_health,adolescent_fertility_policy,Adolescent fertility policy changed,Policies to reduce adolescent fertility changed from 'No' to 'Yes'.,This may affect reproductive health interventions targeting adolescents.,unknown,0.8,"[""policies_reduce_adolescent_fertility"", ""reproductive_health""]",
BLR,2005,un_wpp,reproductive_health,adolescent_fertility_policy,Adolescent fertility policy changed,Policies to reduce adolescent fertility changed from 'Yes' to 'No'.,This may affect reproductive health interventions targeting adolescents.,unknown,0.8,"[""policies_reduce_adolescent_fertility"", ""reproductive_health""]",
BLR,2009,un_wpp,reproductive_health,adolescent_fertility_policy,Adolescent fertility policy changed,Policies to reduce adolescent fertility changed from 'No' to 'Yes'.,This may affect reproductive health interventions targeting adolescents.,unknown,0.8,"[""policies_reduce_adolescent_fertility"", ""reproductive_health""]",
BEL,1986,un_wpp,population_policy,official_orientation,Population policy orientation changed,Population policy orientation changed from 'No intervention' to 'Maintain'.,This may affect how the state approaches fertility trends and demographic goals.,neutral,0.8,"[""policy_on_fertility_level"", ""population_policy""]",
BEL,1996,un_wpp,population_policy,official_orientation,Population policy orientation changed,Population policy orientation changed from 'Maintain' to 'No intervention'.,This may affect how the state approaches fertility trends and demographic goals.,neutral,0.8,"[""policy_on_fertility_level"", ""population_policy""]",
BEL,2013,un_wpp,population_policy,official_orientation,Population policy orientation changed,Population policy orientation changed from 'No intervention' to 'Raise'.,This may affect how the state approaches fertility trends and demographic goals.,pro_natal,0.8,"[""policy_on_fertility_level"", ""population_policy""]",
BEL,2001,un_wpp,family_planning,government_support,Family planning support changed,Family planning support changed from 'Indirect support' to 'Direct support'.,This may affect access to family planning services and reproductive choices.,expansive,0.8,"[""family_planning_support"", ""family_planning""]",
BEL,2001,un_wpp,abortion,legal_grounds,Abortion policy changed,"Legal grounds for abortion changed from '1,2,3,4,5,6' to '1,2,3,4,5,6,7'.",This may affect legal access to abortion and reproductive autonomy.,expansive,0.8,"[""abortion_grounds"", ""abortion""]",
BEL,2011,un_wpp,reproductive_health,adolescent_fertility_policy,Adolescent fertility policy changed,Policies to reduce adolescent fertility changed from 'Yes' to 'No'.,This may affect reproductive health interventions targeting adolescents.,unknown,0.8,"[""policies_reduce_adolescent_fertility"", ""reproductive_health""]",
BLZ,2011,un_wpp,population_policy,official_orientation,Population policy orientation changed,Population policy orientation changed from 'No intervention' to 'Lower'.,This may affect how the state approaches fertility trends and demographic goals.,anti_natal,0.8,"[""policy_on_fertility_level"", ""population_policy""]",
BLZ,1996,un_wpp,population_policy,government_view,Government view on fertility level changed,Government view on fertility level changed from 'Satisfactory' to 'Too high'.,This may reflect a shift in how fertility trends are evaluated by the government.,unknown,0.8,"[""view_on_fertility_level"", ""population_policy""]",
BLZ,2001,un_wpp,population_policy,government_view,Government view on fertility level changed,Government view on fertility level changed from 'Too high' to 'Satisfactory'.,This may reflect a shift in how fertility trends are evaluated by the government.,unknown,0.8,"[""view_on_fertility_level"", ""population_policy""]",
BLZ,2003,un_wpp,population_policy,government_view,Government view on fertility level changed,Government view on fertility level changed from 'Satisfactory' to 'Too high'.,This may reflect a shift in how fertility trends are evaluated by the government.,unknown,0.8,"[""view_on_fertility_level"", ""population_policy""]",
BLZ,1996,un_wpp,family_planning,government_support,Family planning support changed,Family planning support changed from 'No support' to 'Indirect support'.,This may affect access to family planning services and reproductive choices.,expansive,0.8,"[""family_planning_support"", ""family_planning""]",
BLZ,2011,un_wpp,family_planning,government_support,Family planning support changed,Family planning support changed from 'Indirect support' to 'Direct support'.,This may affect access to family planning services and reproductive choices.,expansive,0.8,"[""family_planning_support"", ""family_planning""]",
BLZ,2001,un_wpp,abortion,legal_grounds,Abortion policy changed,"Legal grounds for abortion changed from '1,2,3,4,5,6' to '1,2,3,5,6'.",This may affect legal access to abortion and reproductive autonomy.,restrictive,0.8,"[""abortion_grounds"", ""abortion""]",
BLZ,2001,un_wpp,reproductive_health,adolescent_fertility_policy,Adolescent fertility policy changed,Policies to reduce adolescent fertility changed from 'Yes' to 'No'.,This may affect reproductive health interventions targeting adolescents.,unknown,0.8,"[""policies_reduce_adolescent_fertility"", ""reproductive_health""]",
BLZ,2005,un_wpp,reproductive_health,adolescent_fertility_policy,Adolescent fertility policy changed,Policies to reduce adolescent fertility changed from 'No' to 'Yes'.,This may affect reproductive health interventions targeting adolescents.,unknown,0.8,"[""policies_reduce_adolescent_fertility"", ""reproductive_health""]",
BEN,2005,un_wpp,population_policy,official_orientation,Population policy orientation changed,Population policy orientation changed from 'No intervention' to 'Lower'.,This may affect how the state approaches fertility trends and demographic goals.,anti_natal,0.8,"[""policy_on_fertility_level"", ""population_policy""]",
BEN,2005,un_wpp,population_policy,government_view,Government view on fertility level changed,Government view on fertility level changed from 'Satisfactory' to 'Too high'.,This may reflect a shift in how fertility trends are evaluated by the government.,unknown,0.8,"[""view_on_fertility_level"", ""population_policy""]",
BEN,1996,un_wpp,family_planning,government_support,Family planning support changed,Family planning support changed from 'Indirect support' to 'Direct support'.,This may affect access to family planning services and reproductive choices.,expansive,0.8,"[""family_planning_support"", ""family_planning""]",
BEN,2005,un_wpp,abortion,legal_grounds,Abortion policy changed,"Legal grounds for abortion changed from '1' to '1,2,3,4,5'.",This may affect legal access to abortion and reproductive autonomy.,expansive,0.8,"[""abortion_grounds"", ""abortion""]",
BEN,2005,un_wpp,reproductive_health,adolescent_fertility_concern,Concern about adolescent fertility changed,Concern about adolescent fertility changed from 'Minor concern' to 'Major concern'.,This may influence reproductive health priorities for adolescents.,unknown,0.8,"[""concern_about_adolescent_fertility"", ""reproductive_health""]",
BEN,2005,un_wpp,reproductive_health,adolescent_fertility_policy,Adolescent fertility policy changed,Policies to reduce adolescent fertility changed from 'No' to 'Yes'.,This may affect reproductive health interventions targeting adolescents.,unknown,0.8,"[""policies_reduce_adolescent_fertility"", ""reproductive_health""]",
BTN,2001,un_wpp,population_policy,official_orientation,Population policy orientation changed,Population policy orientation changed from 'No intervention' to 'Lower'.,This may affect how the state approaches fertility trends and demographic goals.,anti_natal,0.8,"[""policy_on_fertility_level"", ""population_policy""]",
BTN,2001,un_wpp,population_policy,government_view,Government view on fertility level changed,Government view on fertility level changed from 'Satisfactory' to 'Too high'.,This may reflect a shift in how fertility trends are evaluated by the government.,unknown,0.8,"[""view_on_fertility_level"", ""population_policy""]",
BTN,2009,un_wpp,population_policy,government_view,Government view on fertility level changed,Government view on fertility level changed from 'Too high' to 'Satisfactory'.,This may reflect a shift in how fertility trends are evaluated by the government.,unknown,0.8,"[""view_on_fertility_level"", ""population_policy""]",
BTN,2011,un_wpp,population_policy,government_view,Government view on fertility level changed,Government view on fertility level changed from 'Satisfactory' to 'Too high'.,This may reflect a shift in how fertility trends are evaluated by the government.,unknown,0.8,"[""view_on_fertility_level"", ""population_policy""]",
BTN,2007,un_wpp,abortion,legal_grounds,Abortion policy changed,"Legal grounds for abortion changed from '1' to '1,5'.",This may affect legal access to abortion and reproductive autonomy.,expansive,0.8,"[""abortion_grounds"", ""abortion""]",
BTN,2009,un_wpp,abortion,legal_grounds,Abortion policy changed,"Legal grounds for abortion changed from '1,5' to '1,3,4'.",This may affect legal access to abortion and reproductive autonomy.,expansive,0.8,"[""abortion_grounds"", ""abortion""]",
BTN,2009,un_wpp,reproductive_health,adolescent_fertility_concern,Concern about adolescent fertility changed,Concern about adolescent fertility changed from 'Minor concern' to 'Major concern'.,This may influence reproductive health priorities for adolescents.,unknown,0.8,"[""concern_about_adolescent_fertility"", ""reproductive_health""]",
BTN,2009,un_wpp,reproductive_health,adolescent_fertility_policy,Adolescent fertility policy changed,Policies to reduce adolescent fertility changed from 'No' to 'Yes'.,This may affect reproductive health interventions targeting adolescents.,unknown,0.8,"[""policies_reduce_adolescent_fertility"", ""reproductive_health""]",
BOL,2011,un_wpp,population_policy,official_orientation,Population policy orientation changed,Population policy orientation changed from 'No intervention' to 'Maintain'.,This may affect how the state approaches fertility trends and demographic goals.,neutral,0.8,"[""policy_on_fertility_level"", ""population_policy""]",
BOL,1986,un_wpp,population_policy,government_view,Government view on fertility level changed,Government view on fertility level changed from 'Satisfactory' to 'Too low'.,This may reflect a shift in how fertility trends are evaluated by the government.,unknown,0.8,"[""view_on_fertility_level"", ""population_policy""]",
BOL,1996,un_wpp,population_policy,government_view,Government view on fertility level changed,Government view on fertility level changed from 'Too low' to 'Satisfactory'.,This may reflect a shift in how fertility trends are evaluated by the government.,unknown,0.8,"[""view_on_fertility_level"", ""population_policy""]",
BOL,1986,un_wpp,family_planning,government_support,Family planning support changed,Family planning support changed from 'Direct support' to 'Indirect support'.,This may affect access to family planning services and reproductive choices.,restrictive,0.8,"[""family_planning_support"", ""family_planning""]",
BOL,1996,un_wpp,family_planning,government_support,Family planning support changed,Family planning support changed from 'Indirect support' to 'Direct support'.,This may affect access to family planning services and reproductive choices.,expansive,0.8,"[""family_planning_support"", ""family_planning""]",
BOL,2001,un_wpp,abortion,legal_grounds,Abortion policy changed,"Legal grounds for abortion changed from '1,2,4' to '1,2,3,4'.",This may affect legal access to abortion and reproductive autonomy.,expansive,0.8,"[""abortion_grounds"", ""abortion""]",
BOL,2003,un_wpp,reproductive_health,adolescent_fertility_concern,Concern about adolescent fertility changed,Concern about adolescent fertility changed from 'Minor concern' to 'Major concern'.,This may influence reproductive health priorities for adolescents.,unknown,0.8,"[""concern_about_adolescent_fertility"", ""reproductive_health""]",
BIH,2011,un_wpp,reproductive_health,adolescent_fertility_policy,Adolescent fertility policy changed,Policies to reduce adolescent fertility changed from 'No' to 'Yes'.,This may affect reproductive health interventions targeting adolescents.,unknown,0.8,"[""policies_reduce_adolescent_fertility"", ""reproductive_health""]",
BWA,2007,un_wpp,population_policy,official_orientation,Population policy orientation changed,Population policy orientation changed from 'Lower' to 'Maintain'.,This may affect how the state approaches fertility trends and demographic goals.,neutral,0.8,"[""policy_on_fertility_level"", ""population_policy""]",
BWA,2007,un_wpp,population_policy,government_view,Government view on fertility level changed,Government view on fertility level changed from 'Too high' to 'Satisfactory'.,This may reflect a shift in how fertility trends are evaluated by the government.,unknown,0.8,"[""view_on_fertility_level"", ""population_policy""]",
